long_title,short_title
A + U-Architecture and Urbanism,A U-Archit Urban
A N a E-Approche Neuropsychologique Des Apprentissages Chez L Enfant,Anae Anae
Aaa-Arbeiten Aus Anglistik Und Amerikanistik,Aaa-Arb Anglist Am
Aapg Bulletin-American Association of Petroleum Geologists,Aapg Bull
Aaps Pharmsci,Aaps Pharmsci
Aba Journal,Aba J
Abacus-New York,Abacus-New York
Abdominal Imaging,Abdom Imaging
Abhandlungen Aus Dem Mathematischen Seminar Der Universitat Hamburg,Abh Math Sem Hamburg
Abstracts of Papers of the American Chemical Society,Abstr Pap Am Chem S
Academe-Bulletin of the Aaup,Academe Academe
Academic Emergency Medicine,Acad Emerg Med
Academic Medicine,Acad Med
Academic Psychiatry,Acad Psychiatr
Academic Radiology,Acad Radiol
Academy of Management Executive,Acad Manage Exec
Academy of Management Journal,Acad Manage J
Academy of Management Review,Acad Manage Rev
Acadiensis Acadiensis,Acadiensis Acadiensis
Acarologia Acarologia,Acarologia Acarologia
Accident Analysis and Prevention,Accident Anal Prev
Accounting Organizations and Society,Account Org Soc
Accounting Review,Account Rev
Accounts of Chemical Research,Accounts Chem Res
Accreditation and Quality Assurance,Accredit Qual Assur
Ach-Models in Chemistry,Ach-Models Chem
Aci Materials Journal,Aci Mater J
Aci Structural Journal,Aci Struct J
Acm Computing Surveys,Acm Comput Surv
Acm Sigplan Notices,Acm Sigplan Notices
Acm Transactions on Computer Systems,Acm T Comput Syst
Acm Transactions on Database Systems,Acm T Database Syst
Acm Transactions on Design Automation of Electronic Systems,Acm T Des Automat El
Acm Transactions on Graphics,Acm T Graphic
Acm Transactions on Information Systems,Acm T Inform Syst
Acm Transactions on Mathematical Software,Acm T Math Software
Acm Transactions on Office Information Systems,Acm T Inform Syst
Acm Transactions on Programming Languages and Systems,Acm T Progr Lang Sys
Acm Transactions on Software Engineering and Methodology,Acm T Softw Eng Meth
Acoustical Physics,Acoust Phys+
Acp-Applied Cardiopulmonary Pathophysiology,Acp-Appl Cardiopul P
Acrida Acrida,Acrida Acrida
Acs Symposium Series,Acs Sym Ser
Acsms Health & Fitness Journal,Acsms Health Fit J
Acta Acustica,Acta Acust
Acta Agriculturae Scandinavica,Acta Agr Scand
Acta Agriculturae Scandinavica Section A-Animal Science,Acta Agr Scand A-An
